V1,V2,V3,V4
tag,tag,N,2
?ido,ido,N,2
update,NA,N,2
flatline,flatline,N,2
case,NA,N,2
closing,closing,V,2
be,NA,V,2
cleared,cleared,V,2
flatlined,flatlined,V,2
appears,NA,V,2
NA,NA,J,2
NA,NA,R,2
NA,NA,P,2
turbine,turbine,N,4
power,power,N,4
wind,wind,N,4
speed,speed,N,4
sensor,sensor,N,4
flatline,flatline,N,4
value,NA,N,4
update,NA,N,4
anemometer,anemometer,N,4
issues,issues,N,4
moving,NA,V,4
returning,NA,V,4
been,NA,V,4
resolved,NA,V,4
appears,NA,V,4
is,NA,V,4
is,NA,V,4
is,NA,V,4
appears,NA,V,4
have,NA,V,4
active,NA,J,4
NA,NA,R,4
it,NA,P,4
ido,ido,N,5
:xq01.m_hsrot_tmp,xq m hsrot tmp,N,5
ido,ido,N,5
:xq01.m_imsgen_tmp,xq m imsgen tmp,N,5
ido,ido,N,5
degc,NA,N,5
update,NA,N,5
case,NA,N,5
tags,tags,N,5
flatlines,flatlines,N,5
temperatures,NA,N,5
tags,tags,N,5
flatlines,flatlines,N,5
following,NA,V,5
indicating,NA,V,5
flatlining,flatlining,V,5
closing,closing,V,5
wtg001,wtg,V,5
cleared,cleared,V,5
are,NA,V,5
are,NA,V,5
are,NA,V,5
intermittent,intermittent,J,5
actual,NA,J,5
acceptable,NA,J,5
not,NA,R,5
NA,NA,P,5
wind,wind,N,6
turbine,turbine,N,6
wind,wind,N,6
speed,speed,N,6
m/s,m s,N,6
beginning,NA,V,6
curtailed,curtailed,V,6
appears,NA,V,6
aug,NA,J,6
kw,NA,J,6
NA,NA,R,6
NA,NA,P,6
wind,wind,N,8
turbine,turbine,N,8
mw,NA,N,8
conditions,conditions,N,8
limited,limited,V,8
is,NA,V,8
higher,NA,J,8
currently,NA,R,8
NA,NA,P,8
wind,wind,N,9
turbine,turbine,N,9
wind,wind,N,9
speed,speed,N,9
update,NA,N,9
wind,wind,N,9
turbine,turbine,N,9
power,power,N,9
kw,NA,N,9
curtailment,curtailment,N,9
m/s,m s,N,9
~5-21,,N,9
be,NA,V,9
be,NA,V,9
4/13/2015,,V,9
cleared,cleared,V,9
curtailed,curtailed,V,9
curtailed,curtailed,V,9
appears,NA,V,9
appears,NA,V,9
is,NA,V,9
kw,NA,J,9
active,NA,J,9
currently,NA,R,9
NA,NA,P,9
generator,generator,N,11
bearing,bearing,N,11
temperature,temperature,N,11
model,model,N,11
estimate,estimate,N,11
maximum,NA,N,11
temperature,temperature,N,11
degc,NA,N,11
model,model,N,11
estimate,estimate,N,11
degc.,NA,N,11
condition,condition,N,11
temperature,temperature,N,11
hours,NA,N,11
persists,persists,N,11
update,NA,V,11
remained,remained,V,11
observed,observed,V,11
was,NA,V,11
observed,observed,V,11
~83,,J,11
high,NA,J,11
~78c,NA,J,11
NA,NA,R,11
NA,NA,P,11
week,NA,N,12
model,model,N,12
model,model,N,12
temperatures,NA,N,12
deviations,deviations,N,12
bearing,bearing,V,12
tracking,tracking,V,12
been,NA,V,12
noted,NA,V,12
have,NA,V,12
are,NA,V,12
past,NA,J,12
~10-20c,NA,J,12
high,NA,J,12
other,NA,J,12
as,NA,R,12
NA,NA,P,12
week,NA,N,13
generator,generator,N,13
bearing,bearing,N,13
temperature,temperature,N,13
model,model,N,13
estimate,estimate,N,13
increase,increase,N,13
estimate,estimate,N,13
turbine,turbine,N,13
power,power,N,13
<2000kw,NA,N,13
generator,generator,N,13
speed,speed,N,13
rpm,NA,N,13
temperature,temperature,N,13
time,NA,N,13
increases,increases,N,13
de,de,N,13
running,NA,V,13
was,NA,V,13
occurred,NA,V,13
was,NA,V,13
was,NA,V,13
exceeded,exceeded,V,13
has,NA,V,13
past,NA,J,13
recent,NA,J,13
high,NA,J,13
~79c,NA,J,13
~60c,NA,J,13
ambient,ambient,J,13
~3-4c,NA,J,13
lower,lower,J,13
most,NA,J,13
NA,NA,R,13
NA,NA,P,13
unit,NA,N,14
power,power,N,14
<2000,,N,14
kw,NA,N,14
generator,generator,N,14
bearing,bearing,N,14
temperature,temperature,N,14
ambient,ambient,N,14
time,NA,N,14
wind,wind,N,14
timeframe,timeframe,N,14
power,power,N,14
turbines,turbines,N,14
temperatures,NA,N,14
de,de,N,14
de,de,N,14
operating,NA,V,14
running,NA,V,14
operating,NA,V,14
decreased,decreased,V,14
been,NA,V,14
elevated,elevated,V,14
is,NA,V,14
has,NA,V,14
is,NA,V,14
are,NA,V,14
high,NA,J,14
~15-18c,NA,J,14
other,NA,J,14
same,NA,J,14
~50-60c,NA,J,14
similar,NA,J,14
active,NA,J,14
as,NA,R,14
NA,NA,P,14
power,power,N,16
tag,tag,N,16
turbine,turbine,N,16
wind,wind,N,16
speed,speed,N,16
m/s,m s,N,16
seeing,NA,V,16
are,NA,V,16
active,NA,J,16
mw,NA,J,16
currently,NA,R,16
we,NA,P,16
wind,wind,N,17
turbine,turbine,N,17
wind,wind,N,17
speed,speed,N,17
note,NA,N,17
status,NA,N,17
tag,tag,N,17
wt,wt,N,17
state,NA,N,17
